,file,Acc,PCount,keypoint,,
0,./imagesbooks/ukbench05960.jpg,100,50,100,,
1,./imagesbooks/ukbench00459.jpg,100,50,100,,
2,./imagesbooks/ukbench06010.jpg,100,50,100,,
3,./imagesbooks/ukbench06104.jpg,100,50,100,,
4,./imagesbooks/ukbench00458.jpg,100,50,100,,
5,./imagesbooks/ukbench00248.jpg,100,50,100,,
6,./imagesbooks/ukbench06408.jpg,100,50,100,,
7,./imagesbooks/ukbench00303.jpg,66.6666666666667,50,100,,
8,./imagesbooks/ukbench03124.jpg,100,50,100,,
9,./imagesbooks/ukbench05776.jpg,100,50,100,,
10,./imagesbooks/ukbench06113.jpg,100,50,100,,
11,./imagesbooks/ukbench05964.jpg,100,50,100,,
12,./imagesbooks/ukbench10164.jpg,66.6666666666667,50,100,,
13,./imagesbooks/ukbench02750.jpg,100,50,100,,
14,./imagesbooks/ukbench05951.jpg,100,50,100,,
15,./imagesbooks/ukbench05983.jpg,100,50,100,,
16,./imagesbooks/ukbench03867.jpg,100,50,100,,
17,./imagesbooks/ukbench05883.jpg,100,50,100,,
18,./imagesbooks/ukbench06049.jpg,100,50,100,,
19,./imagesbooks/ukbench06017.jpg,100,50,100,,
20,./imagesbooks/ukbench06150.jpg,100,50,100,,
21,./imagesbooks/ukbench06151.jpg,100,50,100,,
22,./imagesbooks/ukbench02749.jpg,100,50,100,,
23,./imagesbooks/ukbench02721.jpg,100,50,100,,
24,./imagesbooks/ukbench05879.jpg,100,50,100,,
25,./imagesbooks/ukbench06148.jpg,0,50,100,,
26,./imagesbooks/ukbench05880.jpg,100,50,100,,
27,./imagesbooks/ukbench05929.jpg,100,50,100,,
28,./imagesbooks/ukbench06048.jpg,100,50,100,,
29,./imagesbooks/ukbench08544.jpg,100,50,100,,
30,./imagesbooks/ukbench03058.jpg,100,50,100,,
31,./imagesbooks/ukbench10154.jpg,100,50,100,,
32,./imagesbooks/ukbench00000.jpg,100,50,100,,
33,./imagesbooks/ukbench05972.jpg,100,50,100,,
34,./imagesbooks/ukbench05872.jpg,100,50,100,,
