,file,Acc,PCount,kp_50,kp_100,kp_200,kp_500
0,./imagesbooks/ukbench05960.jpg,100.0,50,50,50,,
1,./imagesbooks/ukbench05960.jpg,100.0,50,100,100,,
2,./imagesbooks/ukbench00459.jpg,100.0,50,50,50,,
3,./imagesbooks/ukbench00459.jpg,100.0,50,100,100,,
4,./imagesbooks/ukbench06010.jpg,100.0,50,50,50,,
5,./imagesbooks/ukbench06010.jpg,100.0,50,100,100,,
6,./imagesbooks/ukbench06104.jpg,100.0,50,50,50,,
7,./imagesbooks/ukbench06104.jpg,100.0,50,100,100,,
8,./imagesbooks/ukbench00458.jpg,100.0,50,50,50,,
9,./imagesbooks/ukbench00458.jpg,100.0,50,100,100,,
10,./imagesbooks/ukbench00248.jpg,100.0,50,50,50,,
11,./imagesbooks/ukbench00248.jpg,100.0,50,100,100,,
12,./imagesbooks/ukbench06408.jpg,100.0,50,50,50,,
13,./imagesbooks/ukbench06408.jpg,100.0,50,100,100,,
14,./imagesbooks/ukbench00303.jpg,33.33333333333333,50,50,50,,
