,file,PCount,kp_100_predict10,kp_100_predict20,kp_100_predict30,kp_100_predict50,kp_100_quality,,kp_100_time,kp_300_predict10,kp_300_predict20,kp_300_predict30,kp_300_predict50,kp_300_quality,kp_300_time,kp_500_predict10,kp_500_predict20,kp_500_predict30,kp_500_predict50,kp_500_quality,kp_500_time,kp_50_predict10,kp_50_predict20,kp_50_predict30,kp_50_predict50,kp_50_quality,kp_50_time,kp_700_predict10,kp_700_predict20,kp_700_predict30,kp_700_predict50,kp_700_quality,kp_700_time,kp_900_predict10,kp_900_predict20,kp_900_predict30,kp_900_predict50,kp_900_quality,kp_900_time
0,./imagesbooks/ukbench05960.jpg,,100,100,100,100,10,1,4.85530877113342,100,100,100,100,10,13.0053648948669,100,100,100,100,10,21.2448902130127,100,100,100,100,16,2.55664420127869,100,100,100,100,10,29.3715772628784,100,100,100,100,10,30.6600997447968
1,./imagesbooks/ukbench00459.jpg,,100,100,100,100,10,1,4.31493449211121,100,100,100,100,10,13.0371038913727,100,100,100,100,10,20.3283746242523,100,100,100,100,10,2.43181395530701,100,100,100,100,10,23.2702579498291,100,100,100,100,10,23.4064378738403
2,./imagesbooks/ukbench06010.jpg,,100,100,100,100,10,1,3.91846585273743,100,100,100,100,10,11.2944796085358,100,100,100,100,10,17.2271838188171,100,100,100,100,10,2.08921146392822,100,100,100,100,10,17.1758444309235,100,100,100,100,10,17.2599544525146
3,./imagesbooks/ukbench06104.jpg,,100,100,100,100,10,1,3.98958206176758,100,100,100,100,10,11.3283560276032,100,100,100,100,10,18.9015920162201,100,100,100,100,10,2.21184659004211,100,100,100,100,10,26.1503932476044,100,100,100,100,10,33.8564600944519
4,./imagesbooks/ukbench00458.jpg,,100,100,100,100,10,1,3.98076677322388,100,100,100,100,10,11.4324371814728,100,100,100,100,10,18.9740927219391,100,100,100,100,10,2.28756618499756,100,100,100,100,10,21.5398797988892,100,100,100,100,10,21.5601379871368
5,./imagesbooks/ukbench00248.jpg,,100,100,100,100,10,1,3.96504426002502,100,100,100,100,10,11.5455801486969,100,100,100,100,10,14.8479316234589,100,100,100,100,10,2.16694045066833,100,100,100,100,10,14.6025567054749,100,100,100,100,10,14.7639012336731
6,./imagesbooks/ukbench06408.jpg,,100,100,100,100,10,1,4.09795379638672,100,100,100,100,10,11.3543484210968,100,100,100,100,10,18.8882396221161,100,100,100,100,10,2.10450291633606,100,100,100,100,10,26.3076083660126,100,100,100,100,10,33.8865756988525
7,./imagesbooks/ukbench00303.jpg,,33.3333333333333,33.3333333333333,33.3333333333333,66.6666666666667,98,9.8,3.93766713142395,33.3333333333333,33.3333333333333,66.6666666666667,66.6666666666667,44,11.5322215557098,66.6666666666667,66.6666666666667,100,100,72,18.9075977802277,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,2,2.11420273780823,100,100,100,100,25,26.2990624904633,100,100,100,100,25,33.9470133781433
8,./imagesbooks/ukbench03124.jpg,,100,100,100,100,10,1,4.0203332901001,100,100,100,100,10,11.5249049663544,100,100,100,100,10,18.8738763332367,100,100,100,100,10,2.10881686210632,100,100,100,100,10,26.2101023197174,100,100,100,100,10,34.0827536582947
9,./imagesbooks/ukbench05776.jpg,,100,100,100,100,10,1,4.00128102302551,100,100,100,100,10,11.3274667263031,100,100,100,100,10,18.9031255245209,100,100,100,100,10,2.12023258209229,100,100,100,100,10,26.144504070282,100,100,100,100,10,31.6789073944092
10,./imagesbooks/ukbench06113.jpg,,100,100,100,100,10,1,4.00951433181763,100,100,100,100,10,11.4857792854309,100,100,100,100,10,18.945093870163,100,100,100,100,10,2.13312315940857,100,100,100,100,10,26.4363720417023,100,100,100,100,10,33.8410773277283
