,lib100,lib100,lib200,lib200,lib300,lib300,lib400,lib400,lib500,lib500,,,
,Acc,Stime,Acc,Stime,Acc,Stime,Acc,Stime,Acc,Stime,,,
,100,0.66261100769043,100,1.06862878799438,100,1.43891263008118,100,2.63488078117371,100,2.87973999977112,,,
,100,0.535011053085327,66.6666666666667,0.953830718994141,100,1.35379958152771,100,2.57102155685425,100,2.71486806869507,,,
,100,0.536094903945923,100,1.02932953834534,100,1.59672594070435,100,1.94468832015991,66.6666666666667,2.75682759284973,,,
,100,0.562995672225952,100,1.06698060035706,100,1.31968784332275,100,2.1247284412384,100,2.4238109588623,,98.6666666666667,0.567620306015015
,100,0.571233749389648,100,1.00533366203308,100,1.62181401252747,100,2.26856660842895,100,2.60573029518127,,98,1.04568259716034
,100,0.568474292755127,100,1.1556088924408,100,1.4899218082428,100,1.89276170730591,100,2.36189079284668,,96,1.51692155361176
,100,0.557576656341553,100,1.05349564552307,100,1.38343119621277,100,2.15438079833984,100,2.43004131317139,,94,2.00686937332153
,100,0.600303411483765,100,1.04683971405029,66.6666666666667,1.74296188354492,0,2.06984233856201,100,2.61426472663879,,91.3333333333333,2.53925479412079
,100,0.52813982963562,100,0.938925981521606,100,1.3575291633606,100,2.07757258415222,100,2.60196995735168,,,
,100,0.564671516418457,100,0.970641851425171,100,1.59845519065857,100,1.82596802711487,100,2.66652417182922,,,
,100,0.542072296142578,100,0.965423583984375,100,1.58719325065613,100,2.01507520675659,100,2.69296741485596,,,
,100,0.534950017929077,100,1.01358366012573,100,1.48937249183655,100,1.86961841583252,100,2.59647154808044,,,
,100,0.582240104675293,100,0.886977910995483,100,1.66212964057922,100,1.98429107666016,100,2.42383790016174,,,
,100,0.700010538101196,100,0.910993337631226,100,1.54989647865295,100,1.9202995300293,100,2.88516402244568,,,
,100,0.520927667617798,100,0.950585603713989,100,1.57487940788269,100,2.30763792991638,100,2.3408374786377,,,
,100,0.510778665542603,100,0.990028142929077,100,1.6167528629303,0,1.78019690513611,100,2.38532495498657,,,
,100,0.5545334815979,100,0.904200077056885,100,1.51016139984131,100,2.1098895072937,100,2.7246835231781,,,
,100,0.549456834793091,66.6666666666667,0.893177032470703,33.3333333333333,1.62294578552246,100,1.89739990234375,66.6666666666667,2.42972302436829,,,
,100,0.629538774490356,100,0.982689142227173,100,1.51105618476868,100,2.3025541305542,100,2.67769432067871,,,
,100,0.625506401062012,100,1.08762502670288,100,1.50582385063171,100,1.8847188949585,100,2.83273839950562,,,
,100,0.629149436950684,66.6666666666667,0.928611516952515,100,1.59476280212402,100,2.22004580497742,100,2.39162111282349,,,
,100,0.528331279754639,100,0.988956689834595,100,1.36260771751404,100,1.81179046630859,100,2.40985727310181,,,
,66.6666666666667,0.546845436096191,100,1.01503086090088,100,1.50255274772644,100,1.9903028011322,33.3333333333333,2.71523356437683,,,
